Date,Open,High,Low,Close,Adj Close,Volume,commodity,year,month,day
2011-03-01,1415.599976,1423.900024,1413.699951,1422.599976,1422.599976,28.0,1,2011,3,1
2011-04-01,1409.599976,1410.900024,1375.800049,1378.5,1378.5,122.0,1,2011,4,1
2011-05-01,1383.400024,1384.0,1364.199951,1373.400024,1373.400024,175.0,1,2011,5,1
2011-06-01,1374.800049,1376.5,1368.900024,1371.400024,1371.400024,158.0,1,2011,6,1
2011-07-01,1372.699951,1377.199951,1355.5,1368.5,1368.5,225.0,1,2011,7,1
2011-09-01,1372.699951,1377.199951,1355.5,1373.699951,1373.699951,225.0,1,2011,9,1
2011-10-01,1369.0,1374.0,1365.699951,1373.699951,1373.699951,181.0,1,2011,10,1
2011-11-01,1375.400024,1384.5,1373.900024,1384.0,1384.0,13.0,1,2011,11,1
2011-12-01,1382.599976,1385.5,1378.0,1385.699951,1385.699951,204.0,1,2011,12,1
2011-01-13,1386.099976,1392.5,1371.400024,1386.900024,1386.900024,66.0,1,2011,1,13
2011-01-14,1375.0,1376.0,1356.699951,1360.400024,1360.400024,252.0,1,2011,1,14
2011-01-16,1375.0,1376.0,1356.699951,1368.099976,1368.099976,252.0,1,2011,1,16
2011-01-18,1365.099976,1371.0,1359.199951,1368.099976,1368.099976,106.0,1,2011,1,18
2011-01-19,1371.900024,1376.199951,1367.0,1370.199951,1370.199951,40.0,1,2011,1,19
2011-01-20,1367.699951,1367.699951,1345.0,1346.5,1346.5,10.0,1,2011,1,20
2011-01-21,1341.699951,1345.599976,1338.599976,1341.0,1341.0,20.0,1,2011,1,21
2011-01-23,1341.699951,1345.599976,1338.599976,1344.5,1344.5,20.0,1,2011,1,23
2011-01-24,1352.300049,1352.300049,1341.800049,1344.5,1344.5,2.0,1,2011,1,24
2011-01-25,1330.400024,1331.5,1323.599976,1332.300049,1332.300049,394.0,1,2011,1,25
2011-01-26,1333.0,1341.699951,1333.0,1333.0,1333.0,4.0,1,2011,1,26
2011-01-27,1342.0,1342.0,1318.400024,1318.400024,1318.400024,210699.0,1,2011,1,27
2011-01-28,1314.0,1346.599976,1307.699951,1340.699951,1340.699951,73023.0,1,2011,1,28
2011-01-30,1314.0,1346.599976,1307.699951,1333.800049,1333.800049,73023.0,1,2011,1,30
2011-01-31,1339.0,1345.900024,1323.300049,1333.800049,1333.800049,13657.0,1,2011,1,31
2011-01-02,1333.099976,1342.900024,1325.300049,1339.599976,1339.599976,3180.0,1,2011,1,2
2011-02-02,1344.0,1344.0,1327.0,1331.5,1331.5,1363.0,1,2011,2,2
2011-03-02,1335.599976,1355.800049,1324.900024,1352.300049,1352.300049,1865.0,1,2011,3,2
2011-04-02,1354.800049,1360.0,1345.0,1348.300049,1348.300049,591.0,1,2011,4,2
2011-06-02,1354.800049,1360.0,1345.0,1347.599976,1347.599976,591.0,1,2011,6,2
2011-07-02,1345.800049,1353.800049,1343.800049,1347.599976,1347.599976,1004.0,1,2011,7,2
2011-08-02,1351.199951,1367.0,1350.0,1363.400024,1363.400024,2536.0,1,2011,8,2
2011-09-02,1362.800049,1366.5,1359.599976,1364.800049,1364.800049,146.0,1,2011,9,2
2011-10-02,1364.300049,1364.5,1351.699951,1361.900024,1361.900024,312.0,1,2011,10,2
2011-11-02,1364.0,1368.800049,1355.199951,1359.900024,1359.900024,488.0,1,2011,11,2
2011-02-13,1364.0,1368.800049,1355.199951,1364.599976,1364.599976,488.0,1,2011,2,13
2011-02-14,1357.800049,1365.599976,1356.599976,1364.599976,1364.599976,181.0,1,2011,2,14
2011-02-15,1361.599976,1376.0,1361.599976,1373.599976,1373.599976,321.0,1,2011,2,15
2011-02-16,1373.599976,1382.0,1370.5,1374.699951,1374.699951,156.0,1,2011,2,16
2011-02-17,1377.699951,1384.699951,1377.0,1384.699951,1384.699951,113.0,1,2011,2,17
2011-02-18,1384.099976,1391.800049,1381.800049,1388.199951,1388.199951,98.0,1,2011,2,18
2011-02-20,1384.099976,1391.800049,1381.800049,1400.5,1400.5,98.0,1,2011,2,20
2011-02-22,1395.099976,1408.699951,1395.099976,1400.5,1400.5,430.0,1,2011,2,22
2011-02-23,1397.800049,1413.800049,1397.800049,1413.400024,1413.400024,318.0,1,2011,2,23
2011-02-24,1415.099976,1415.300049,1408.300049,1415.300049,1415.300049,809.0,1,2011,2,24
2011-02-25,1401.699951,1411.0,1401.0,1408.699951,1408.699951,352.0,1,2011,2,25
2011-02-27,1401.699951,1411.0,1401.0,1409.300049,1409.300049,352.0,1,2011,2,27
2011-02-28,1410.699951,1415.699951,1407.699951,1409.300049,1409.300049,205.0,1,2011,2,28
2011-01-03,1415.300049,1434.400024,1415.300049,1430.699951,1430.699951,116.0,1,2011,1,3
2011-02-03,1432.5,1440.5,1428.800049,1437.199951,1437.199951,1600.0,1,2011,2,3
2011-03-03,1432.300049,1432.300049,1415.900024,1416.0,1416.0,244.0,1,2011,3,3
2011-04-03,1418.900024,1429.800049,1416.800049,1428.199951,1428.199951,60.0,1,2011,4,3
2011-06-03,1418.900024,1429.800049,1416.800049,1434.099976,1434.099976,60.0,1,2011,6,3
2011-07-03,1434.5,1445.0,1429.5,1434.099976,1434.099976,613.0,1,2011,7,3
2011-08-03,1431.599976,1432.599976,1424.300049,1426.900024,1426.900024,198.0,1,2011,8,3
2011-09-03,1430.0,1435.699951,1426.099976,1429.300049,1429.300049,98.0,1,2011,9,3
2011-10-03,1429.5,1429.800049,1403.800049,1412.199951,1412.199951,23.0,1,2011,10,3
2011-11-03,1413.699951,1422.599976,1404.900024,1421.5,1421.5,23.0,1,2011,11,3
2011-03-13,1413.699951,1422.599976,1404.900024,1424.599976,1424.599976,23.0,1,2011,3,13
2011-03-14,1420.0,1427.699951,1420.0,1424.599976,1424.599976,58.0,1,2011,3,14
2011-03-15,1413.300049,1413.300049,1385.5,1392.599976,1392.599976,20.0,1,2011,3,15
2011-03-16,1398.0,1404.199951,1394.300049,1396.0,1396.0,38.0,1,2011,3,16
2011-03-17,1387.699951,1393.599976,1387.699951,1404.0,1404.0,27.0,1,2011,3,17
2011-03-18,1406.400024,1419.300049,1406.400024,1415.900024,1415.900024,6.0,1,2011,3,18
2011-03-20,1406.400024,1419.300049,1406.400024,1426.199951,1426.199951,6.0,1,2011,3,20
2011-03-21,1433.5,1433.5,1430.800049,1426.199951,1426.199951,43.0,1,2011,3,21
2011-03-22,1430.400024,1430.400024,1430.400024,1427.5,1427.5,85.0,1,2011,3,22
2011-03-23,1432.199951,1439.699951,1432.199951,1437.900024,1437.900024,19.0,1,2011,3,23
2011-03-24,1437.699951,1446.900024,1437.5,1434.800049,1434.800049,27.0,1,2011,3,24
2011-03-25,1436.0,1436.0,1436.0,1426.099976,1426.099976,1.0,1,2011,3,25
2011-03-27,1436.0,1436.0,1436.0,1419.800049,1419.800049,1.0,1,2011,3,27
2011-03-28,1413.199951,1415.599976,1413.199951,1419.800049,1419.800049,6.0,1,2011,3,28
2011-03-29,1416.0,1416.0,1416.0,1416.0,1416.0,135792.0,1,2011,3,29
2011-03-30,1418.699951,1430.300049,1412.0,1423.800049,1423.800049,47011.0,1,2011,3,30
2011-03-31,1423.300049,1440.0,1420.699951,1438.900024,1438.900024,8230.0,1,2011,3,31
2011-01-04,1433.400024,1436.5,1413.0,1428.099976,1428.099976,5318.0,1,2011,1,4
2011-03-04,1433.400024,1436.5,1413.0,1432.199951,1432.199951,5318.0,1,2011,3,4
2011-04-04,1429.099976,1439.099976,1428.800049,1432.199951,1432.199951,683.0,1,2011,4,4
2011-05-04,1437.900024,1457.599976,1430.300049,1451.800049,1451.800049,2609.0,1,2011,5,4
2011-06-04,1456.900024,1462.300049,1452.0,1457.699951,1457.699951,901.0,1,2011,6,4
2011-07-04,1459.699951,1462.5,1453.900024,1458.5,1458.5,229.0,1,2011,7,4
2011-08-04,1457.599976,1475.5,1457.5,1473.400024,1473.400024,1407.0,1,2011,8,4
2011-10-04,1457.599976,1475.5,1457.5,1467.400024,1467.400024,1407.0,1,2011,10,4
2011-11-04,1476.0,1476.0,1459.699951,1467.400024,1467.400024,378.0,1,2011,11,4
2011-12-04,1461.800049,1467.199951,1444.400024,1452.900024,1452.900024,345.0,1,2011,12,4
2011-04-13,1455.0,1462.0,1454.0,1454.900024,1454.900024,197.0,1,2011,4,13
2011-04-14,1456.800049,1476.0,1452.699951,1471.699951,1471.699951,535.0,1,2011,4,14
2011-04-15,1477.599976,1487.5,1473.199951,1485.300049,1485.300049,293.0,1,2011,4,15
2011-04-17,1477.599976,1487.5,1473.199951,1492.300049,1492.300049,293.0,1,2011,4,17
2011-04-18,1486.300049,1497.300049,1477.5,1492.300049,1492.300049,650.0,1,2011,4,18
2011-04-19,1493.300049,1499.5,1489.0,1494.5,1494.5,168.0,1,2011,4,19
2011-04-20,1494.0,1505.300049,1494.0,1498.300049,1498.300049,386.0,1,2011,4,20
2011-04-21,1503.699951,1508.300049,1501.699951,1503.199951,1503.199951,237.0,1,2011,4,21
2011-04-24,1503.699951,1508.300049,1501.699951,1508.599976,1508.599976,237.0,1,2011,4,24
2011-04-25,1513.300049,1518.0,1502.800049,1508.599976,1508.599976,233.0,1,2011,4,25
2011-04-26,1501.5,1506.300049,1495.0,1503.0,1503.0,223.0,1,2011,4,26
2011-04-27,1507.099976,1512.800049,1505.199951,1516.699951,1516.699951,460.0,1,2011,4,27
2011-04-28,1528.599976,1536.0,1526.599976,1530.800049,1530.800049,425.0,1,2011,4,28
2011-04-29,1538.699951,1568.699951,1537.300049,1556.0,1556.0,124.0,1,2011,4,29
2011-01-05,1538.699951,1568.699951,1537.300049,1556.699951,1556.699951,124.0,1,2011,1,5
2011-02-05,1572.900024,1576.599976,1543.099976,1556.699951,1556.699951,200.0,1,2011,2,5
2011-03-05,1542.5,1547.0,1527.5,1540.099976,1540.099976,246.0,1,2011,3,5
2011-04-05,1535.0,1539.0,1506.199951,1514.900024,1514.900024,272.0,1,2011,4,5
2011-05-05,1514.699951,1520.699951,1471.0,1480.900024,1480.900024,133.0,1,2011,5,5
2011-06-05,1473.199951,1494.800049,1472.300049,1491.199951,1491.199951,144.0,1,2011,6,5
2011-08-05,1473.199951,1494.800049,1472.300049,1502.900024,1502.900024,144.0,1,2011,8,5
2011-09-05,1501.5,1512.800049,1501.300049,1502.900024,1502.900024,44.0,1,2011,9,5
2011-10-05,1508.400024,1516.900024,1508.400024,1516.599976,1516.599976,13.0,1,2011,10,5
2011-11-05,1524.0,1524.099976,1495.199951,1501.099976,1501.099976,30.0,1,2011,11,5
2011-12-05,1492.099976,1498.5,1484.800049,1506.599976,1506.599976,11.0,1,2011,12,5
2011-05-13,1503.5,1511.300049,1490.199951,1493.400024,1493.400024,16.0,1,2011,5,13
2011-05-15,1503.5,1511.300049,1490.199951,1490.400024,1490.400024,16.0,1,2011,5,15
2011-05-16,1489.300049,1494.900024,1489.300049,1490.400024,1490.400024,10.0,1,2011,5,16
2011-05-17,1489.800049,1491.800049,1473.0,1479.800049,1479.800049,41.0,1,2011,5,17
2011-05-18,1496.400024,1497.0,1496.300049,1495.599976,1495.599976,82.0,1,2011,5,18
2011-05-19,1491.5,1491.5,1491.5,1492.199951,1492.199951,1.0,1,2011,5,19
2011-05-20,1499.0,1512.699951,1488.699951,1508.800049,1508.800049,93.0,1,2011,5,20
2011-05-22,1499.0,1512.699951,1488.699951,1515.300049,1515.300049,93.0,1,2011,5,22
2011-05-23,1510.5,1512.300049,1507.0,1515.300049,1515.300049,42.0,1,2011,5,23
2011-05-24,1527.099976,1527.099976,1521.900024,1523.199951,1523.199951,4.0,1,2011,5,24
2011-05-25,1526.400024,1527.5,1526.099976,1526.599976,1526.599976,10.0,1,2011,5,25
2011-05-26,1521.199951,1521.199951,1519.5,1522.800049,1522.800049,186986.0,1,2011,5,26
2011-05-27,1519.400024,1538.5,1518.400024,1536.300049,1536.300049,76719.0,1,2011,5,27
2011-05-29,1519.400024,1538.5,1518.400024,1535.900024,1535.900024,76719.0,1,2011,5,29
2011-05-31,1536.699951,1541.099976,1532.400024,1535.900024,1535.900024,6152.0,1,2011,5,31
2011-01-06,1535.699951,1550.599976,1529.699951,1542.400024,1542.400024,2845.0,1,2011,1,6
2011-02-06,1541.300049,1544.5,1520.0,1532.0,1532.0,1651.0,1,2011,2,6
2011-03-06,1534.699951,1546.300049,1525.0,1541.699951,1541.699951,1745.0,1,2011,3,6
2011-05-06,1534.699951,1546.300049,1525.0,1546.5,1546.5,1745.0,1,2011,5,6
2011-06-06,1542.900024,1553.900024,1542.0,1546.5,1546.5,691.0,1,2011,6,6
2011-07-06,1545.0,1549.900024,1537.199951,1543.300049,1543.300049,2530.0,1,2011,7,6
2011-08-06,1544.199951,1544.199951,1531.300049,1538.099976,1538.099976,489.0,1,2011,8,6
2011-09-06,1536.099976,1548.800049,1534.400024,1542.099976,1542.099976,288.0,1,2011,9,6
2011-10-06,1543.699951,1543.900024,1526.400024,1528.599976,1528.599976,632.0,1,2011,10,6
2011-12-06,1543.699951,1543.900024,1526.400024,1515.0,1515.0,632.0,1,2011,12,6
2011-06-13,1528.099976,1533.0,1511.300049,1515.0,1515.0,851.0,1,2011,6,13
2011-06-14,1517.199951,1526.199951,1513.099976,1523.800049,1523.800049,306.0,1,2011,6,14
2011-06-15,1525.0,1533.400024,1515.0,1525.599976,1525.599976,648.0,1,2011,6,15
2011-06-16,1526.0,1531.199951,1522.0,1529.300049,1529.300049,164.0,1,2011,6,16
2011-06-17,1523.0,1541.599976,1523.0,1538.599976,1538.599976,72.0,1,2011,6,17
2011-06-19,1523.0,1541.599976,1523.0,1541.5,1541.5,72.0,1,2011,6,19
2011-06-20,1536.0,1545.699951,1535.199951,1541.5,1541.5,99.0,1,2011,6,20
2011-06-21,1540.099976,1547.5,1540.0,1546.0,1546.0,125.0,1,2011,6,21
2011-06-22,1547.199951,1558.5,1544.400024,1552.900024,1552.900024,222.0,1,2011,6,22
2011-06-23,1547.199951,1547.199951,1514.699951,1520.099976,1520.099976,300.0,1,2011,6,23
2011-06-24,1524.699951,1525.0,1498.5,1500.5,1500.5,257.0,1,2011,6,24
2011-06-26,1524.699951,1525.0,1498.5,1496.0,1496.0,257.0,1,2011,6,26
2011-06-27,1503.5,1503.5,1490.699951,1496.0,1496.0,140.0,1,2011,6,27
2011-06-28,1499.900024,1505.0,1496.099976,1499.699951,1499.699951,508.0,1,2011,6,28
2011-06-29,1504.099976,1512.199951,1504.099976,1509.900024,1509.900024,395.0,1,2011,6,29
2011-06-30,1511.5,1514.0,1498.800049,1502.300049,1502.300049,69.0,1,2011,6,30
2011-01-07,1502.199951,1502.199951,1480.0,1482.300049,1482.300049,66.0,1,2011,1,7
2011-03-07,1502.199951,1502.199951,1480.0,1512.300049,1512.300049,66.0,1,2011,3,7
2011-05-07,1490.400024,1515.0,1490.300049,1512.300049,1512.300049,199.0,1,2011,5,7
2011-06-07,1513.699951,1531.5,1510.300049,1528.699951,1528.699951,71.0,1,2011,6,7
2011-07-07,1529.099976,1533.099976,1522.699951,1530.199951,1530.199951,55.0,1,2011,7,7
2011-08-07,1527.0,1542.599976,1526.599976,1541.199951,1541.199951,3.0,1,2011,8,7
2011-10-07,1527.0,1542.599976,1526.599976,1548.800049,1548.800049,3.0,1,2011,10,7
2011-11-07,1550.0,1555.199951,1543.099976,1548.800049,1548.800049,14.0,1,2011,11,7
2011-12-07,1548.199951,1565.0,1542.0,1561.900024,1561.900024,8.0,1,2011,12,7
2011-07-13,1574.0,1585.599976,1570.800049,1585.199951,1585.199951,29.0,1,2011,7,13
2011-07-14,1586.300049,1592.800049,1583.599976,1589.0,1589.0,19.0,1,2011,7,14
2011-07-15,1582.300049,1592.199951,1582.300049,1589.800049,1589.800049,8.0,1,2011,7,15
2011-07-17,1582.300049,1592.199951,1582.300049,1602.099976,1602.099976,8.0,1,2011,7,17
2011-07-18,1592.800049,1605.0,1592.800049,1602.099976,1602.099976,13.0,1,2011,7,18
2011-07-19,1608.099976,1608.800049,1583.300049,1600.900024,1600.900024,63.0,1,2011,7,19
